id,author_id,author_name,author_handler,author_avatar,lang,type,text,date,mention_ids,mention_names,retweets,favorites,links,links_first,image_links,image_links_first,rp_user_id,rp_user_name,location,tweet_link,search
1180337867928809474,337349881,carreteandoerguido,llegalabatalla,https://pbs.twimg.com/profile_images/1171372781205893120/7D5xoJn8_bigger.jpg,es,original,"Mirate esta hermosura y después si queres hablamos 3 días del sistema, de la exclusión, de la falta de herramientas, de la falta de oportunidades, etc. 
Y NO SE GASTEN EN FILMAR  PELÍCULAS PORQUE TODOS LOS PREMIOS SE LOS LLEVA EL #Guason #JokerMovie pic.twitter.com/YIrc4Wk6TL",2019-10-05T04:24:11.000Z,[],[],0,2,"[""https://t.co/YIrc4Wk6TL""]",https://t.co/YIrc4Wk6TL,"[""https://pbs.twimg.com/media/EGFnCP9XoAAzbe9.jpg""]",https://pbs.twimg.com/media/EGFnCP9XoAAzbe9.jpg,,,,https://twitter.com/llegalabatalla/status/1180337867928809474,#jokermovie
1180337805916086277,1730710681,Cinthya Márquez,CinthyaMarquezM,https://pbs.twimg.com/profile_images/1078042421714448384/yX5PR5zu_bigger.jpg,es,original,Te mereces todo el mame del mundo #JokerMovie 🖤👌🏻,2019-10-05T04:23:57.000Z,[],[],0,0,[],,[],,,,,https://twitter.com/CinthyaMarquezM/status/1180337805916086277,#jokermovie
1180337734440951809,468605283, 👉Lian. 🕶️.,LuanAlvaquez,https://pbs.twimg.com/profile_images/1178160457745612801/4FO3xAd2_bigger.jpg,es,original,"Ya estaba por ir a la disco y me da un esguince. Que puñetera semana que voy a tener. ☹️☹️☹️

#SiguemeYTeSigo #FelizViernesATodos #JokerMovie #SiguemeYTeSigoAlInstante",2019-10-05T04:23:40.000Z,[],[],0,0,[],,[],,,,,https://twitter.com/LuanAlvaquez/status/1180337734440951809,#jokermovie
1180337580954406912,109057168,☆.Mαяîﻉ G.  ●๋• ★,Marie_GH,https://pbs.twimg.com/profile_images/1228936521115324416/FoR1mK5A_bigger.jpg,es,original,"Pues solo les diré vean “El bromas” si la rifa, muy buena. #jokermovie",2019-10-05T04:23:03.000Z,[],[],0,4,[],,[],,,,,https://twitter.com/Marie_GH/status/1180337580954406912,#jokermovie
1180337495701106689,3159075100,𝓓𝓮𝓫𝓫𝓲𝓮,luna_elastica3,https://pbs.twimg.com/profile_images/1173575922261405696/gH5nF8JS_bigger.jpg,es,original,Todos deberían ver ésta peli. #JokerMovie #Joker #JoaquinPhoenixpic.twitter.com/y7Hfhtv9mK,2019-10-05T04:22:43.000Z,[],[],0,2,"[""https://t.co/y7Hfhtv9mK""]",https://t.co/y7Hfhtv9mK,"[""https://pbs.twimg.com/media/EGFmsNjWsAElHaw.jpg""]",https://pbs.twimg.com/media/EGFmsNjWsAElHaw.jpg,,,,https://twitter.com/luna_elastica3/status/1180337495701106689,#jokermovie
1180337486381236224,86841934,Víctor Soto Oficial,victorsotomx,https://pbs.twimg.com/profile_images/1179826297553469443/_j0el7RL_bigger.jpg,es,original,Me preguntan si ya vi #Joker #JokerFilm #JokerMovie claro que sí y mi calificación es 9.5 la próxima semana los espero para hablar de esta película y opinemos juntos de que nos pareció merece el Óscar? #Espectacular #TvRadioMxpic.twitter.com/4RcoUnhZRD,2019-10-05T04:22:41.000Z,[],[],0,1,"[""https://t.co/4RcoUnhZRD""]",https://t.co/4RcoUnhZRD,"[""https://pbs.twimg.com/media/EGFmsFCUEAAC_b5.jpg""]",https://pbs.twimg.com/media/EGFmsFCUEAAC_b5.jpg,,,,https://twitter.com/victorsotomx/status/1180337486381236224,#jokermovie
1180337402608525312,270140962,Chayito frausto,chayitofrausto,https://pbs.twimg.com/profile_images/964387402126000128/8_6hExqy_bigger.jpg,es,reply,La mirada de joaquin phoenix cuando ve a robert de niro intimida ....#Guason #JokerMovie esta retorcidamente espectacular 🤗,2019-10-05T04:22:21.000Z,[],[],0,0,[],,[],,19619801,szurita,,https://twitter.com/chayitofrausto/status/1180337402608525312,#jokermovie
1180337393423015936,106787549,Rafis Industries®,JokeRatedR,https://pbs.twimg.com/profile_images/1221654235131121669/uCBhdOCh_bigger.jpg,es,original,"Sólo en México ponen anuncios de #discoverykids y de #PlayDoh antes de esta película 🤣
#Cinepolis
#Joker 
#JokerMovie pic.twitter.com/cV0mLtKuR9",2019-10-05T04:22:18.000Z,[],[],0,2,"[""https://t.co/cV0mLtKuR9""]",https://t.co/cV0mLtKuR9,"[""https://pbs.twimg.com/media/EGFmmqcW4AAxzPM.jpg""]",https://pbs.twimg.com/media/EGFmmqcW4AAxzPM.jpg,,,,https://twitter.com/JokeRatedR/status/1180337393423015936,#jokermovie
1180337363400232960,275817667,Eduardo M.,edesingais36,https://pbs.twimg.com/profile_images/1138671432056131586/0_9p6vTP_bigger.jpg,es,original,"Que chingona está #JokerMovie no entiendo el hate que se inició, es maravillosa y #JoaquinPhoenix nos da una actuación ENORME",2019-10-05T04:22:11.000Z,[],[],0,0,[],,[],,,,,https://twitter.com/edesingais36/status/1180337363400232960,#jokermovie
1180020052176883712,3236283420,carlos ramírez,crloxrated,https://pbs.twimg.com/profile_images/748607199669153792/XAgZEkvH_bigger.jpg,es,original,#JokerMovie Es hermosa y perturbadora al mismo tiempo,2019-10-04T07:21:18.000Z,[],[],0,1,[],,[],,,,,https://twitter.com/crloxrated/status/1180020052176883712,#jokermovie
1180020023563313152,935776188,Diego  ☄️,QuiroaDiego,https://pbs.twimg.com/profile_images/1170626287255412737/QTbx_Own_bigger.jpg,es,original,"Las otras personas // Yo viendo el Joker

#JokerMovie pic.twitter.com/Ukue6oQV8T",2019-10-04T07:21:11.000Z,[],[],97,367,"[""https://t.co/Ukue6oQV8T""]",https://t.co/Ukue6oQV8T,"[""https://pbs.twimg.com/media/EGBF8wjXkAALAor.jpg""]",https://pbs.twimg.com/media/EGBF8wjXkAALAor.jpg,,,,https://twitter.com/QuiroaDiego/status/1180020023563313152,#jokermovie
1180019959956742144,1081303389370286080,Lorena,NoSoyKarlizConK,https://pbs.twimg.com/profile_images/1211003935235948545/x4SFEOpS_bigger.jpg,es,original,Lo es todo. #JokerMovie gracias Joaquin... Me hiciste llorar.,2019-10-04T07:20:56.000Z,[],[],0,0,[],,[],,,,,https://twitter.com/NoSoyKarlizConK/status/1180019959956742144,#jokermovie
1180019879874678784,337446929,Damian L,damilinche,https://pbs.twimg.com/profile_images/1199501760680878080/rZkArk1p_bigger.jpg,es,original,#JokerMovie magistral! ⭐️⭐️⭐️⭐️⭐️,2019-10-04T07:20:37.000Z,[],[],0,1,[],,[],,,,,https://twitter.com/damilinche/status/1180019879874678784,#jokermovie
